fecha,cod,prov,lng,lat,paro
2023-5,05,Ávila,-4.946,40.571,8788
2023-5,09,Burgos,-3.586,42.367,14351
2023-5,24,León,-5.841,42.62,22295
2023-5,34,Palencia,-4.535,42.37,6613
2023-5,47,Valladolid,-4.847,41.634,24002
2023-5,40,Segovia,-4.055,41.171,5335
2023-5,42,Soria,-2.589,41.621,2774
2023-5,49,Zamora,-5.979,41.727,9090
2023-5,07,Castilla León,-4.397,41.835,111055
2023-5,37,Salamanca,-6.066,40.805,17807
2023-4,05,Ávila,-4.946,40.571,8990
2023-4,47,Valladolid,-4.847,41.634,25105
2023-4,07,Castilla León,-4.397,41.835,115514
2023-4,09,Burgos,-3.586,42.367,15020
2023-4,37,Salamanca,-6.066,40.805,18502
2023-4,49,Zamora,-5.979,41.727,9403
2023-4,24,León,-5.841,42.62,22990
2023-4,34,Palencia,-4.535,42.37,7029
2023-4,40,Segovia,-4.055,41.171,5475
2023-4,42,Soria,-2.589,41.621,3000
2023-3,09,Burgos,-3.586,42.367,15478
2023-3,24,León,-5.841,42.62,23724
2023-3,34,Palencia,-4.535,42.37,7402
2023-3,47,Valladolid,-4.847,41.634,25861
2023-3,49,Zamora,-5.979,41.727,9731
2023-3,07,Castilla León,-4.397,41.835,119646
2023-3,40,Segovia,-4.055,41.171,5812
2023-3,05,Ávila,-4.946,40.571,9340
2023-3,37,Salamanca,-6.066,40.805,19174
2023-3,42,Soria,-2.589,41.621,3124
2023-2,05,Ávila,-4.946,40.571,9758
2023-2,09,Burgos,-3.586,42.367,16237
2023-2,37,Salamanca,-6.066,40.805,19700
2023-2,34,Palencia,-4.535,42.37,7707
2023-2,40,Segovia,-4.055,41.171,6041
2023-2,42,Soria,-2.589,41.621,3271
2023-2,49,Zamora,-5.979,41.727,10368
2023-2,07,Castilla León,-4.397,41.835,124092
2023-2,24,León,-5.841,42.62,24575
2023-2,47,Valladolid,-4.847,41.634,26435
2023-1,05,Ávila,-4.946,40.571,9893
2023-1,24,León,-5.841,42.62,24841
2023-1,37,Salamanca,-6.066,40.805,19787
2023-1,34,Palencia,-4.535,42.37,7816
2023-1,07,Castilla León,-4.397,41.835,125634
2023-1,09,Burgos,-3.586,42.367,16475
2023-1,40,Segovia,-4.055,41.171,6099
2023-1,42,Soria,-2.589,41.621,3318
2023-1,47,Valladolid,-4.847,41.634,26922
2023-1,49,Zamora,-5.979,41.727,10483
2022-12,24,León,-5.841,42.62,24130
2022-12,34,Palencia,-4.535,42.37,7602
2022-12,42,Soria,-2.589,41.621,3142
2022-12,47,Valladolid,-4.847,41.634,26318
2022-12,09,Burgos,-3.586,42.367,16004
2022-12,05,Ávila,-4.946,40.571,9615
2022-12,37,Salamanca,-6.066,40.805,19401
2022-12,40,Segovia,-4.055,41.171,5788
2022-12,49,Zamora,-5.979,41.727,9999
2022-12,07,Castilla León,-4.397,41.835,121999
2022-11,05,Ávila,-4.946,40.571,9736
2022-11,34,Palencia,-4.535,42.37,7568
2022-11,47,Valladolid,-4.847,41.634,26389
2022-11,07,Castilla León,-4.397,41.835,122936
2022-11,09,Burgos,-3.586,42.367,16042
2022-11,24,León,-5.841,42.62,24266
2022-11,40,Segovia,-4.055,41.171,5922
2022-11,42,Soria,-2.589,41.621,3148
2022-11,49,Zamora,-5.979,41.727,9983
2022-11,37,Salamanca,-6.066,40.805,19882
2022-10,49,Zamora,-5.979,41.727,9893
2022-10,07,Castilla León,-4.397,41.835,121382
2022-10,05,Ávila,-4.946,40.571,9567
2022-10,24,León,-5.841,42.62,23864
2022-10,40,Segovia,-4.055,41.171,5763
2022-10,09,Burgos,-3.586,42.367,15682
2022-10,34,Palencia,-4.535,42.37,7485
2022-10,37,Salamanca,-6.066,40.805,19695
2022-10,42,Soria,-2.589,41.621,2990
2022-10,47,Valladolid,-4.847,41.634,26443
2022-9,24,León,-5.841,42.62,23822
2022-9,40,Segovia,-4.055,41.171,5657
2022-9,47,Valladolid,-4.847,41.634,26108
2022-9,05,Ávila,-4.946,40.571,9409
2022-9,09,Burgos,-3.586,42.367,15320
2022-9,37,Salamanca,-6.066,40.805,19411
2022-9,42,Soria,-2.589,41.621,2928
2022-9,34,Palencia,-4.535,42.37,7340
2022-9,49,Zamora,-5.979,41.727,9631
2022-9,07,Castilla León,-4.397,41.835,119626
2022-8,34,Palencia,-4.535,42.37,7374
2022-8,07,Castilla León,-4.397,41.835,119083
2022-8,24,León,-5.841,42.62,23210
2022-8,40,Segovia,-4.055,41.171,5640
2022-8,42,Soria,-2.589,41.621,2843
2022-8,05,Ávila,-4.946,40.571,8975
2022-8,09,Burgos,-3.586,42.367,15398
2022-8,37,Salamanca,-6.066,40.805,19207
2022-8,47,Valladolid,-4.847,41.634,26913
2022-8,49,Zamora,-5.979,41.727,9523
2022-7,24,León,-5.841,42.62,23206
2022-7,34,Palencia,-4.535,42.37,7430
2022-7,40,Segovia,-4.055,41.171,5564
2022-7,49,Zamora,-5.979,41.727,9370
2022-7,05,Ávila,-4.946,40.571,8892
2022-7,09,Burgos,-3.586,42.367,14951
2022-7,37,Salamanca,-6.066,40.805,18700
2022-7,42,Soria,-2.589,41.621,2797
2022-7,47,Valladolid,-4.847,41.634,26539
2022-7,07,Castilla León,-4.397,41.835,117449
2022-6,24,León,-5.841,42.62,23443
2022-6,34,Palencia,-4.535,42.37,7466
2022-6,37,Salamanca,-6.066,40.805,18636
2022-6,49,Zamora,-5.979,41.727,9625
2022-6,07,Castilla León,-4.397,41.835,117658
2022-6,05,Ávila,-4.946,40.571,9142
2022-6,40,Segovia,-4.055,41.171,5573
2022-6,47,Valladolid,-4.847,41.634,25921
2022-6,09,Burgos,-3.586,42.367,14996
2022-6,42,Soria,-2.589,41.621,2856
2022-5,09,Burgos,-3.586,42.367,15574
2022-5,34,Palencia,-4.535,42.37,7813
2022-5,40,Segovia,-4.055,41.171,5799
2022-5,47,Valladolid,-4.847,41.634,26654
2022-5,37,Salamanca,-6.066,40.805,19393
2022-5,49,Zamora,-5.979,41.727,9996
2022-5,07,Castilla León,-4.397,41.835,122365
2022-5,05,Ávila,-4.946,40.571,9460
2022-5,24,León,-5.841,42.62,24612
2022-5,42,Soria,-2.589,41.621,3064
2022-4,09,Burgos,-3.586,42.367,16515
2022-4,37,Salamanca,-6.066,40.805,20062
2022-4,40,Segovia,-4.055,41.171,5943
2022-4,47,Valladolid,-4.847,41.634,27983
2022-4,49,Zamora,-5.979,41.727,10184
2022-4,24,León,-5.841,42.62,25512
2022-4,34,Palencia,-4.535,42.37,8078
2022-4,05,Ávila,-4.946,40.571,9713
2022-4,42,Soria,-2.589,41.621,3279
2022-4,07,Castilla León,-4.397,41.835,127269
2022-3,09,Burgos,-3.586,42.367,16810
2022-3,42,Soria,-2.589,41.621,3418
2022-3,49,Zamora,-5.979,41.727,10370
2022-3,05,Ávila,-4.946,40.571,9919
2022-3,24,León,-5.841,42.62,26252
2022-3,37,Salamanca,-6.066,40.805,20561
2022-3,40,Segovia,-4.055,41.171,6072
2022-3,47,Valladolid,-4.847,41.634,28472
2022-3,34,Palencia,-4.535,42.37,8279
2022-3,07,Castilla León,-4.397,41.835,130153
2022-2,05,Ávila,-4.946,40.571,10127
2022-2,09,Burgos,-3.586,42.367,16780
2022-2,24,León,-5.841,42.62,26047
2022-2,37,Salamanca,-6.066,40.805,20480
